Gaussian stddev, weight by dist, Particle scatter factor, numParticles, resampling method, avgDist, stddevDist, avgAng, stddevAng, avgDistMax, stddevDistMax, avgAngMax, stddevAngMax
1.000000e-01,1,7.000000e-01,250,residual,7.136935e+00,2.652439e+00,5.150315e-01,1.284134e+00,7.207127e+00,2.856209e+00,4.296956e-01,1.414022e+00
1.000000e-01,1,7.000000e-01,500,multinomial,7.531670e+00,3.478199e+00,8.358308e-01,1.521779e+00,7.577923e+00,3.609896e+00,6.960011e-01,1.608213e+00
1.000000e-01,1,7.000000e-01,500,systematic,7.332169e+00,3.105897e+00,7.013173e-01,1.345128e+00,7.503866e+00,3.308878e+00,6.270182e-01,1.427550e+00
1.000000e-01,1,7.000000e-01,500,stratified,7.740908e+00,3.412967e+00,7.739516e-01,1.248506e+00,7.944994e+00,3.574998e+00,6.730233e-01,1.317202e+00
1.000000e-01,1,7.000000e-01,500,residual,7.881205e+00,3.495939e+00,8.432556e-01,1.307907e+00,7.932837e+00,3.607807e+00,7.306110e-01,1.430936e+00
1.000000e-01,1,7.000000e-01,1000,multinomial,7.265443e+00,3.355786e+00,7.144587e-01,1.425928e+00,7.552424e+00,3.477185e+00,6.765634e-01,1.478449e+00
1.000000e-01,1,7.000000e-01,1000,systematic,6.774513e+00,2.991008e+00,6.869327e-01,1.471650e+00,6.974969e+00,3.199306e+00,5.911827e-01,1.553309e+00
1.000000e-01,1,7.000000e-01,1000,stratified,7.178861e+00,2.751922e+00,7.212617e-01,1.379913e+00,7.270476e+00,3.054752e+00,6.497636e-01,1.473018e+00
1.000000e-01,1,7.000000e-01,1000,residual,7.534159e+00,3.558378e+00,8.332889e-01,1.313778e+00,7.559596e+00,3.755195e+00,6.435849e-01,1.476085e+00
1.000000e-01,1,7.000000e-01,3000,multinomial,7.542646e+00,3.084057e+00,5.669069e-01,1.255250e+00,7.794189e+00,3.357573e+00,5.238076e-01,1.340108e+00
1.000000e-01,1,7.000000e-01,3000,systematic,6.670012e+00,2.643059e+00,7.558185e-01,1.477689e+00,7.157283e+00,3.137152e+00,6.839382e-01,1.550774e+00
1.000000e-01,1,7.000000e-01,3000,stratified,6.993115e+00,2.812096e+00,7.671791e-01,1.443956e+00,7.187205e+00,3.199281e+00,6.944531e-01,1.533516e+00
1.000000e-01,1,7.000000e-01,3000,residual,6.992919e+00,2.649872e+00,7.304686e-01,1.391371e+00,7.121259e+00,2.912779e+00,6.278846e-01,1.515050e+00
1.000000e-01,1,7.000000e-01,5000,multinomial,7.061915e+00,2.787509e+00,7.422346e-01,1.412863e+00,6.992884e+00,3.161577e+00,4.433781e-01,1.533630e+00
1.000000e-01,1,7.000000e-01,5000,systematic,6.920853e+00,2.802098e+00,7.458689e-01,1.434975e+00,7.306856e+00,3.213820e+00,6.412365e-01,1.507206e+00
1.000000e-01,1,7.000000e-01,5000,stratified,6.965273e+00,2.726326e+00,7.151755e-01,1.415646e+00,7.289631e+00,3.197572e+00,6.926009e-01,1.479562e+00
1.000000e-01,1,7.000000e-01,5000,residual,6.937934e+00,2.863322e+00,7.418688e-01,1.431189e+00,7.068635e+00,3.290987e+00,5.347975e-01,1.554950e+00
1.000000e-01,1,7.000000e-01,7500,multinomial,7.228804e+00,3.181598e+00,7.092786e-01,1.329306e+00,7.615664e+00,3.604585e+00,7.217270e-01,1.435753e+00
1.000000e-01,1,7.000000e-01,7500,systematic,6.963220e+00,2.904373e+00,6.454974e-01,1.457536e+00,7.241370e+00,3.329075e+00,5.587456e-01,1.514544e+00
1.000000e-01,1,7.000000e-01,7500,stratified,6.823583e+00,2.763219e+00,7.175642e-01,1.394608e+00,6.985339e+00,2.938903e+00,7.703124e-01,1.492559e+00
1.000000e-01,1,7.000000e-01,7500,residual,7.108134e+00,2.768627e+00,6.293888e-01,1.335598e+00,7.483640e+00,3.114662e+00,6.224462e-01,1.400196e+00
1.000000e-01,1,7.000000e-01,10000,multinomial,6.875263e+00,2.805145e+00,7.348842e-01,1.403094e+00,6.871040e+00,3.074939e+00,6.214052e-01,1.595040e+00
1.000000e-01,1,7.000000e-01,10000,systematic,6.911738e+00,2.748913e+00,7.329102e-01,1.403397e+00,7.206399e+00,3.131546e+00,7.282572e-01,1.501287e+00
1.000000e-01,1,7.000000e-01,10000,stratified,6.943171e+00,2.895360e+00,7.311293e-01,1.388594e+00,7.249387e+00,3.167750e+00,7.129252e-01,1.471433e+00
1.000000e-01,1,7.000000e-01,10000,residual,6.970499e+00,2.875299e+00,6.889385e-01,1.424679e+00,7.335549e+00,3.274620e+00,6.634256e-01,1.453309e+00
1.000000e-01,1,9.000000e-01,250,multinomial,6.375543e+00,3.294466e+00,4.002353e-01,1.575193e+00,6.493695e+00,3.357525e+00,3.398620e-01,1.656038e+00
1.000000e-01,1,9.000000e-01,250,systematic,7.658929e+00,3.766683e+00,5.785291e-01,1.367254e+00,7.859549e+00,3.893912e+00,5.085097e-01,1.431044e+00
