,,-1.220000,-1.220000,-1.220000,1.220000,1.220000,1.220000
,,-1.520000,0.000000,1.520000,1.520000,0.000000,-1.520000
47.603995,0.793400,-70.000000,-69.000000,-79.000000,-76.000000,-79.000000,-69.000000,
47.797518,0.796625,-70.000000,-68.000000,-78.000000,-78.000000,-78.000000,-69.000000,
47.973822,0.799564,-70.000000,-69.000000,-74.000000,-80.000000,-77.000000,-69.000000,
48.151169,0.802519,-71.000000,-68.000000,-78.000000,-76.000000,-76.000000,-70.000000,
48.305620,0.805094,-70.000000,-68.000000,-75.000000,-77.000000,-76.000000,-69.000000,
48.513871,0.808565,-70.000000,-68.000000,-79.000000,-77.000000,-75.000000,-70.000000,
48.720671,0.812011,-70.000000,-69.000000,-75.000000,-80.000000,-75.000000,-71.000000,
48.981924,0.816365,-69.000000,-68.000000,-78.000000,-76.000000,-76.000000,-69.000000,
49.155522,0.819259,-70.000000,-69.000000,-81.000000,-76.000000,-74.000000,-73.000000,
49.350083,0.822501,-71.000000,-69.000000,-82.000000,-79.000000,-74.000000,-72.000000,
49.550821,0.825847,-70.000000,-70.000000,-76.000000,-79.000000,-75.000000,-70.000000,
49.764417,0.829407,-71.000000,-69.000000,-78.000000,-86.000000,-75.000000,-70.000000,
49.958074,0.832635,-70.000000,-71.000000,-78.000000,-84.000000,-76.000000,-72.000000,
50.193850,0.836564,-70.000000,-69.000000,-76.000000,-82.000000,-75.000000,-73.000000,
50.404775,0.840080,-70.000000,-70.000000,-79.000000,-84.000000,-75.000000,-71.000000,
50.560907,0.842682,-70.000000,-70.000000,-80.000000,-83.000000,-74.000000,-70.000000,
50.753236,0.845887,-70.000000,-68.000000,-80.000000,-84.000000,-73.000000,-71.000000,
50.978144,0.849636,-70.000000,-69.000000,-83.000000,-85.000000,-74.000000,-70.000000,
51.152182,0.852536,-69.000000,-69.000000,-80.000000,-86.000000,-75.000000,-70.000000,
51.344204,0.855737,-69.000000,-69.000000,-80.000000,-87.000000,-74.000000,-72.000000,
51.572112,0.859535,-70.000000,-69.000000,-79.000000,-97.000000,-76.000000,-71.000000,
51.767135,0.862786,-70.000000,-69.000000,-80.000000,-95.000000,-74.000000,-72.000000,
51.990319,0.866505,-70.000000,-69.000000,-82.000000,-93.000000,-79.000000,-69.000000,
52.161688,0.869361,-70.000000,-69.000000,-77.000000,-90.000000,-74.000000,-70.000000,
52.372604,0.872877,-69.000000,-69.000000,-80.000000,-87.000000,-74.000000,-70.000000,
52.580439,0.876341,-70.000000,-69.000000,-82.000000,-89.000000,-74.000000,-72.000000,
52.806013,0.880100,-70.000000,-69.000000,-82.000000,-96.000000,-72.000000,-71.000000,
53.041392,0.884023,-70.000000,-69.000000,-81.000000,-91.000000,-72.000000,-71.000000,
53.225172,0.887086,-70.000000,-69.000000,-78.000000,-86.000000,-73.000000,-72.000000,
53.444482,0.890741,-70.000000,-69.000000,-79.000000,-84.000000,-74.000000,-70.000000,
53.651570,0.894193,-70.000000,-69.000000,-76.000000,-81.000000,-75.000000,-71.000000,
53.859893,0.897665,-69.000000,-69.000000,-75.000000,-83.000000,-75.000000,-71.000000,
54.052614,0.900877,-70.000000,-71.000000,-77.000000,-84.000000,-75.000000,-71.000000,
54.227588,0.903793,-70.000000,-69.000000,-75.000000,-83.000000,-74.000000,-71.000000,
54.436129,0.907269,-71.000000,-69.000000,-75.000000,-84.000000,-74.000000,-71.000000,
54.594119,0.909902,-70.000000,-69.000000,-82.000000,-85.000000,-74.000000,-70.000000,
54.822532,0.913709,-70.000000,-69.000000,-81.000000,-81.000000,-74.000000,-69.000000,
54.994434,0.916574,-69.000000,-68.000000,-81.000000,-82.000000,-78.000000,-69.000000,
55.203643,0.920061,-70.000000,-69.000000,-80.000000,-81.000000,-73.000000,-70.000000,
55.428026,0.923800,-70.000000,-68.000000,-82.000000,-82.000000,-74.000000,-71.000000,
55.657378,0.927623,-70.000000,-69.000000,-78.000000,-81.000000,-74.000000,-70.000000,
55.895629,0.931594,-70.000000,-69.000000,-80.000000,-85.000000,-74.000000,-69.000000,
56.114585,0.935243,-70.000000,-69.000000,-79.000000,-82.000000,-74.000000,-70.000000,
56.322514,0.938709,-69.000000,-69.000000,-75.000000,-83.000000,-74.000000,-70.000000,
56.535850,0.942264,-69.000000,-69.000000,-80.000000,-81.000000,-72.000000,-70.000000,
56.777763,0.946296,-68.000000,-69.000000,-83.000000,-80.000000,-74.000000,-71.000000,
56.980121,0.949669,-70.000000,-69.000000,-75.000000,-88.000000,-78.000000,-70.000000,
57.171631,0.952861,-70.000000,-69.000000,-80.000000,-83.000000,-76.000000,-70.000000,
57.348958,0.955816,-69.000000,-70.000000,-81.000000,-88.000000,-80.000000,-71.000000,
57.524904,0.958748,-70.000000,-70.000000,-82.000000,-79.000000,-75.000000,-72.000000,
57.685136,0.961419,-69.000000,-69.000000,-80.000000,-78.000000,-73.000000,-71.000000,
57.863209,0.964387,-69.000000,-70.000000,-80.000000,-80.000000,-74.000000,-69.000000,
58.067113,0.967785,-69.000000,-69.000000,-77.000000,-83.000000,-73.000000,-70.000000,
58.259147,0.970986,-69.000000,-68.000000,-79.000000,-82.000000,-74.000000,-70.000000,
58.450884,0.974181,-69.000000,-69.000000,-77.000000,-85.000000,-75.000000,-70.000000,
58.627008,0.977117,-70.000000,-68.000000,-78.000000,-79.000000,-75.000000,-70.000000,
58.824790,0.980413,-70.000000,-68.000000,-79.000000,-86.000000,-74.000000,-74.000000,
59.047148,0.984119,-67.000000,-69.000000,-74.000000,-77.000000,-86.000000,-67.000000,
59.272888,0.987881,-69.000000,-70.000000,-73.000000,-74.000000,-70.000000,-65.000000,
59.475187,0.991253,-67.000000,-71.000000,-69.000000,-72.000000,-72.000000,-63.000000,
59.671784,0.994530,-76.000000,-75.000000,-96.000000,-80.000000,-71.000000,-67.000000,
